Datetime,Hash,Commit Msg,Filename,Removed Test Case,Manual Validation,Final Results,Ajay Manual Validation,Suraj Manual Validation,Ajay Comments,Suraj Comments,,,,
,,,,testConversions,,,,,,,,,,
,,,,testReduce,,,,,,,,,,
,,,,testInvert,,,,,,,,,,
,,,,testNegate,,,,,,,,,,
,,,,testAbs,,,,,,,,,,
,,,,testPow,,,,,,,,,,
,,,,testAdd,,,,,,,,,,
,,,,testSubtract,,,,,,,,,,
,,,,testMultiply,,,,,,,,,,
,,,,testDivide,,,,,,,,,,
,,,,testEquals,,,,,,,,,,
,,,,testHashCode,,,,,,,,,,
,,,,testCompareTo,,,,,,,,,,
,,,,testToString,,,,,,,,,,
,,,,testToProperString,,,,,,,,,,
,,,IntRangeTest.java,testConstructor1a,,,,,,,,,,
,,,,testConstructor1b,,,,,,,,,,
,,,,testConstructor2a,,,,,,,,,,
,,,,testConstructor2b,,,,,,,,,,
,,,,testContainsNumber,,,,,,,,,,
,,,,testContainsIntegerBig,,,,,,,,,,
,,,LongRangeTest.java,testConstructor1a,,,,,,,,,,
,,,,testConstructor1b,,,,,,,,,,
,,,,testConstructor2a,,,,,,,,,,
,,,,testConstructor2b,,,,,,,,,,
,,,,testContainsNumber,,,,,,,,,,
,,,,testContainsLongBig,,,,,,,,,,
,,,NumberUtilsTest.java,testStringToIntString,,,,,,,,,,
,,,,testStringToIntStringI,,,,,,,,,,
,,,,testCreateNumber,,,,,,,,,,
,,,,testCreateFloat,,,,,,,,,,
,,,,testCreateDouble,,,,,,,,,,
,,,,testCreateInteger,,,,,,,,,,
,,,,testCreateLong,,,,,,,,,,
,,,,testCreateBigInteger,,,,,,,,,,
,,,,testCreateBigDecimal,,,,,,,,,,
,,,,testMinimumLong,,,,,,,,,,
,,,,testMinimumInt,,,,,,,,,,
,,,,testMaximumLong,,,,,,,,,,
,,,,testMaximumInt,,,,,,,,,,
,,,,testCompareDouble,,,,,,,,,,
,,,,testCompareFloat,,,,,,,,,,
,,,,testIsDigits,,,,,,,,,,
,,,,testIsNumber,,,,,,,,,,
,,,RandomUtilsTest.java,testNextInt,,,,,,,,,,
,,,,testNextInt2,,,,,,,,,,
,,,,testJvmRandomNextInt,,,,,,,,,,
,,,,testNextLong,,,,,,,,,,
,,,,testNextLong2,,,,,,,,,,
,,,,testNextBoolean,,,,,,,,,,
,,,,testNextBoolean2,,,,,,,,,,
,,,,testNextFloat,,,,,,,,,,
,,,,testNextFloat2,,,,,,,,,,
,,,,testNextDouble,,,,,,,,,,
,,,,testNextDouble2,,,,,,,,,,
,,,,testUnimplementedMethods,,,,,,,,,,
,,,,testIllegalArguments,,,,,,,,,,
,,,RangeTest.java,testEqualsObject,,,,,,,,,,
,,,,testHashCode,,,,,,,,,,
,,,,testToString,,,,,,,,,,
,,,MutableBooleanTest.java,testCompareTo,,,,,,,,,,
,,,,testConstructors,,,,,,,,,,
,,,,testEquals,,,,,,,,,,
,,,,testGetSet,,,,,,,,,,
,,,,testHashCode,,,,,,,,,,
,,,,testToString,,,,,,,,,,
,,,MutableByteTest.java,testConstructors,,,,,,,,,,
,,,,testGetSet,,,,,,,,,,
,,,,testEquals,,,,,,,,,,
,,,,testHashCode,,,,,,,,,,
,,,,testCompareTo,,,,,,,,,,
,,,,testPrimitiveValues,,,,,,,,,,
,,,,testToByte,,,,,,,,,,
,,,,testIncrement,,,,,,,,,,
,,,,testDecrement,,,,,,,,,,
,,,,testAddValuePrimitive,,,,,,,,,,
,,,,testAddValueObject,,,,,,,,,,
,,,,testSubtractValuePrimitive,,,,,,,,,,
,,,,testSubtractValueObject,,,,,,,,,,
,,,,testToString,,,,,,,,,,
,,,MutableDoubleTest.java,testConstructors,,,,,,,,,,
,,,,testGetSet,,,,,,,,,,
,,,,testNanInfinite,,,,,,,,,,
,,,,testEquals,,,,,,,,,,
,,,,testHashCode,,,,,,,,,,
,,,,testCompareTo,,,,,,,,,,
,,,,testPrimitiveValues,,,,,,,,,,
,,,,testToDouble,,,,,,,,,,
,,,,testIncrement,,,,,,,,,,
,,,,testDecrement,,,,,,,,,,
,,,,testAddValuePrimitive,,,,,,,,,,
,,,,testAddValueObject,,,,,,,,,,
,,,,testSubtractValuePrimitive,,,,,,,,,,
,,,,testSubtractValueObject,,,,,,,,,,
,,,,testToString,,,,,,,,,,
,,,MutableFloatTest.java,testConstructors,,,,,,,,,,
,,,,testGetSet,,,,,,,,,,
,,,,testNanInfinite,,,,,,,,,,
,,,,testEquals,,,,,,,,,,
,,,,testHashCode,,,,,,,,,,
,,,,testCompareTo,,,,,,,,,,
,,,,testPrimitiveValues,,,,,,,,,,
,,,,testToFloat,,,,,,,,,,
,,,,testIncrement,,,,,,,,,,
,,,,testDecrement,,,,,,,,,,
,,,,testAddValuePrimitive,,,,,,,,,,
,,,,testAddValueObject,,,,,,,,,,
,,,,testSubtractValuePrimitive,,,,,,,,,,
,,,,testSubtractValueObject,,,,,,,,,,
,,,,testToString,,,,,,,,,,
,,,MutableIntTest.java,testConstructors,,,,,,,,,,
,,,,testGetSet,,,,,,,,,,
,,,,testHashCode,,,,,,,,,,
,,,,testCompareTo,,,,,,,,,,
,,,,testPrimitiveValues,,,,,,,,,,
,,,,testToInteger,,,,,,,,,,
,,,,testIncrement,,,,,,,,,,
,,,,testDecrement,,,,,,,,,,
,,,,testAddValuePrimitive,,,,,,,,,,
,,,,testAddValueObject,,,,,,,,,,
,,,,testSubtractValuePrimitive,,,,,,,,,,
,,,,testSubtractValueObject,,,,,,,,,,
,,,,testToString,,,,,,,,,,
,,,MutableLongTest.java,testConstructors,,,,,,,,,,
,,,,testGetSet,,,,,,,,,,
,,,,testEquals,,,,,,,,,,
,,,,testHashCode,,,,,,,,,,
,,,,testCompareTo,,,,,,,,,,
,,,,testPrimitiveValues,,,,,,,,,,
,,,,testToLong,,,,,,,,,,
,,,,testIncrement,,,,,,,,,,
,,,,testDecrement,,,,,,,,,,
,,,,testAddValuePrimitive,,,,,,,,,,
,,,,testAddValueObject,,,,,,,,,,
,,,,testSubtractValuePrimitive,,,,,,,,,,
,,,,testSubtractValueObject,,,,,,,,,,
,,,,testToString,,,,,,,,,,
,,,MutableObjectTest.java,testConstructors,,,,,,,,,,
,,,,testGetSet,,,,,,,,,,
,,,,testEquals,,,,,,,,,,
,,,,testHashCode,,,,,,,,,,
,,,,testToString,,,,,,,,,,
,,,MutableShortTest.java,testConstructors,,,,,,,,,,
,,,,testGetSet,,,,,,,,,,
,,,,testEquals,,,,,,,,,,
,,,,testHashCode,,,,,,,,,,
,,,,testCompareTo,,,,,,,,,,
,,,,testPrimitiveValues,,,,,,,,,,
,,,,testToShort,,,,,,,,,,
,,,,testIncrement,,,,,,,,,,
,,,,testDecrement,,,,,,,,,,
,,,,testAddValuePrimitive,,,,,,,,,,
,,,,testAddValueObject,,,,,,,,,,
,,,,testSubtractValuePrimitive,,,,,,,,,,
,,,,testSubtractValueObject,,,,,,,,,,
,,,,testToString,,,,,,,,,,
,,,CompositeFormatTest.java,testCompositeFormat,,,,,,,,,,
,,,,testUsage,,,,,,,,,,
,,,StrBuilderAppendInsertTest.java,testAppendNewLine,,,,,,,,,,
,,,,testAppendWithNullText,,,,,,,,,,
,,,,testAppend_Object,,,,,,,,,,
,,,,testAppend_String,,,,,,,,,,
,,,,testAppend_String_int_int,,,,,,,,,,
,,,,testAppend_StringBuffer,,,,,,,,,,
,,,,testAppend_StringBuffer_int_int,,,,,,,,,,
,,,,testAppend_StrBuilder,,,,,,,,,,
,,,,testAppend_StrBuilder_int_int,,,,,,,,,,
,,,,testAppend_CharArray,,,,,,,,,,
,,,,testAppend_CharArray_int_int,,,,,,,,,,
,,,,testAppend_Primitive,,,,,,,,,,
,,,,testAppend_PrimitiveNumber,,,,,,,,,,
,,,,testAppendPadding,,,,,,,,,,
,,,,testAppendFixedWidthPadLeft,,,,,,,,,,
,,,,testAppendFixedWidthPadLeft_int,,,,,,,,,,
,,,,testAppendFixedWidthPadRight,,,,,,,,,,
,,,,testAppendFixedWidthPadRight_int,,,,,,,,,,
,,,,testAppendWithSeparators_Array,,,,,,,,,,
,,,,testAppendWithSeparators_Collection,,,,,,,,,,
,,,,testAppendWithSeparators_Iterator,,,,,,,,,,
,,,,testAppendWithSeparatorsWithNullText,,,,,,,,,,
,,,,testInsert,,,,,,,,,,
,,,,testInsertWithNullText,,,,,,,,,,
,,,StrBuilderTest.java,testConstructors,,,,,,,,,,
,,,,testChaining,,,,,,,,,,
,,,,testGetSetNewLineText,,,,,,,,,,
,,,,testGetSetNullText,,,,,,,,,,
,,,,testCapacityAndLength,,,,,,,,,,
,,,,testLength,,,,,,,,,,
,,,,testSetLength,,,,,,,,,,
,,,,testCapacity,,,,,,,,,,
,,,,testEnsureCapacity,,,,,,,,,,
,,,,testMinimizeCapacity,,,,,,,,,,
,,,,testSize,,,,,,,,,,
,,,,testIsEmpty,,,,,,,,,,
,,,,testClear,,,,,,,,,,
,,,,testCharAt,,,,,,,,,,
,,,,testSetCharAt,,,,,,,,,,
,,,,testDeleteCharAt,,,,,,,,,,
,,,,testToCharArray,,,,,,,,,,
,,,,testToCharArrayIntInt,,,,,,,,,,
,,,,testGetChars,,,,,,,,,,
,,,,testGetCharsIntIntCharArrayInt,,,,,,,,,,
,,,,testDeleteIntInt,,,,,,,,,,
,,,,testDeleteAll_char,,,,,,,,,,
,,,,testDeleteFirst_char,,,,,,,,,,
,,,,testDeleteAll_String,,,,,,,,,,
,,,,testDeleteFirst_String,,,,,,,,,,
,,,,testDeleteAll_StrMatcher,,,,,,,,,,
,,,,testDeleteFirst_StrMatcher,,,,,,,,,,
,,,,testReplace_int_int_String,,,,,,,,,,
,,,,testReplaceAll_char_char,,,,,,,,,,
,,,,testReplaceFirst_char_char,,,,,,,,,,
,,,,testReplaceAll_String_String,,,,,,,,,,
,,,,testReplaceFirst_String_String,,,,,,,,,,
,,,,testReplaceAll_StrMatcher_String,,,,,,,,,,
,,,,testReplaceFirst_StrMatcher_String,,,,,,,,,,
,,,,testReplace_StrMatcher_String_int_int_int_VaryMatcher,,,,,,,,,,
,,,,testReplace_StrMatcher_String_int_int_int_VaryReplace,,,,,,,,,,
,,,,testReplace_StrMatcher_String_int_int_int_VaryStartIndex,,,,,,,,,,
,,,,testReplace_StrMatcher_String_int_int_int_VaryEndIndex,,,,,,,,,,
,,,,testReplace_StrMatcher_String_int_int_int_VaryCount,,,,,,,,,,
,,,,testReverse,,,,,,,,,,
,,,,testTrim,,,,,,,,,,
,,,,testStartsWith,,,,,,,,,,
,,,,testEndsWith,,,,,,,,,,
,,,,testSubstringInt,,,,,,,,,,
,,,,testSubstringIntInt,,,,,,,,,,
,,,,testMidString,,,,,,,,,,
,,,,testRightString,,,,,,,,,,
,,,,testLeftString,,,,,,,,,,
,,,,testContains_char,,,,,,,,,,
,,,,testContains_String,,,,,,,,,,
,,,,testContains_StrMatcher,,,,,,,,,,
,,,,testIndexOf_char,,,,,,,,,,
,,,,testIndexOf_char_int,,,,,,,,,,
,,,,testLastIndexOf_char,,,,,,,,,,
,,,,testLastIndexOf_char_int,,,,,,,,,,
,,,,testIndexOf_String,,,,,,,,,,
,,,,testIndexOf_String_int,,,,,,,,,,
,,,,testLastIndexOf_String,,,,,,,,,,
,,,,testLastIndexOf_String_int,,,,,,,,,,
,,,,testIndexOf_StrMatcher,,,,,,,,,,
,,,,testIndexOf_StrMatcher_int,,,,,,,,,,
,,,,testLastIndexOf_StrMatcher,,,,,,,,,,
,,,,testLastIndexOf_StrMatcher_int,,,,,,,,,,
,,,,testAsTokenizer,,,,,,,,,,
,,,,testAsReader,,,,,,,,,,
,,,,testAsWriter,,,,,,,,,,
,,,,testEqualsIgnoreCase,,,,,,,,,,
,,,,testEquals,,,,,,,,,,
,,,,testHashCode,,,,,,,,,,
,,,,testToString,,,,,,,,,,
,,,,testToStringBuffer,,,,,,,,,,
,,,StrLookupTest.java,testNoneLookup,,,,,,,,,,
,,,,testSystemProperiesLookup,,,,,,,,,,
,,,,testMapLookup,,,,,,,,,,
,,,,testMapLookup_nullMap,,,,,,,,,,
,,,StrMatcherTest.java,testCommaMatcher,,,,,,,,,,
,,,,testTabMatcher,,,,,,,,,,
,,,,testSpaceMatcher,,,,,,,,,,
,,,,testSplitMatcher,,,,,,,,,,
,,,,testTrimMatcher,,,,,,,,,,
,,,,testSingleQuoteMatcher,,,,,,,,,,
,,,,testDoubleQuoteMatcher,,,,,,,,,,
,,,,testQuoteMatcher,,,,,,,,,,
,,,,testNoneMatcher,,,,,,,,,,
,,,,testCharMatcher_char,,,,,,,,,,
,,,,testCharSetMatcher_String,,,,,,,,,,
,,,,testCharSetMatcher_charArray,,,,,,,,,,
,,,,testStringMatcher_String,,,,,,,,,,
,,,,testMatcherIndices,,,,,,,,,,
,,,StrSubstitutorTest.java,testReplaceSimple,,,,,,,,,,
,,,,testReplaceSolo,,,,,,,,,,
,,,,testReplaceNoVariables,,,,,,,,,,
,,,,testReplaceNull,,,,,,,,,,
,,,,testReplaceEmpty,,,,,,,,,,
,,,,testReplaceChangedMap,,,,,,,,,,
,,,,testReplaceUnknownKey,,,,,,,,,,
,,,,testReplaceAdjacentAtStart,,,,,,,,,,
,,,,testReplaceAdjacentAtEnd,,,,,,,,,,
,,,,testReplaceRecursive,,,,,,,,,,
,,,,testReplaceEscaping,,,,,,,,,,
,,,,testReplaceSoloEscaping,,,,,,,,,,
,,,,testReplaceComplexEscaping,,,,,,,,,,
,,,,testReplaceNoPefixNoSuffix,,,,,,,,,,
,,,,testReplaceIncompletePefix,,,,,,,,,,
,,,,testReplacePrefixNoSuffix,,,,,,,,,,
,,,,testReplaceNoPrefixSuffix,,,,,,,,,,
,,,,testReplaceEmptyKeys,,,,,,,,,,
,,,,testReplaceToIdentical,,,,,,,,,,
,,,,testCyclicReplacement,,,,,,,,,,
,,,,testReplaceWeirdPattens,,,,,,,,,,
,,,,testReplacePartialString_noReplace,,,,,,,,,,
,,,,testResolveVariable,,,,,,,,,,
,,,,testConstructorNoArgs,,,,,,,,,,
,,,,testConstructorMapPrefixSuffix,,,,,,,,,,
,,,,testConstructorMapFull,,,,,,,,,,
,,,,testGetSetEscape,,,,,,,,,,
,,,,testGetSetPrefix,,,,,,,,,,
,,,,testGetSetSuffix,,,,,,,,,,
,,,,testStaticReplace,,,,,,,,,,
,,,,testStaticReplacePrefixSuffix,,,,,,,,,,
,,,,testStaticReplaceSystemProperties,,,,,,,,,,
,,,StrTokenizerTest.java,test1,,,,,,,,,,
,,,,test2,,,,,,,,,,
,,,,test3,,,,,,,,,,
,,,,test4,,,,,,,,,,
,,,,test5,,,,,,,,,,
,,,,test6,,,,,,,,,,
,,,,test7,,,,,,,,,,
,,,,test8,,,,,,,,,,
,,,,testBasic1,,,,,,,,,,
,,,,testBasic2,,,,,,,,,,
,,,,testBasic3,,,,,,,,,,
,,,,testBasic4,,,,,,,,,,
,,,,testBasic5,,,,,,,,,,
,,,,testBasicDelim1,,,,,,,,,,
,,,,testBasicDelim2,,,,,,,,,,
,,,,testBasicEmpty1,,,,,,,,,,
,,,,testBasicEmpty2,,,,,,,,,,
,,,,testBasicQuoted1,,,,,,,,,,
,,,,testBasicQuoted2,,,,,,,,,,
,,,,testBasicQuoted3,,,,,,,,,,
,,,,testBasicQuoted4,,,,,,,,,,
,,,,testBasicQuoted5,,,,,,,,,,
,,,,testBasicQuoted6,,,,,,,,,,
,,,,testBasicQuoted7,,,,,,,,,,
,,,,testBasicQuotedTrimmed1,,,,,,,,,,
,,,,testBasicTrimmed1,,,,,,,,,,
,,,,testBasicTrimmed2,,,,,,,,,,
,,,,testBasicIgnoreTrimmed1,,,,,,,,,,
,,,,testBasicIgnoreTrimmed2,,,,,,,,,,
,,,,testBasicIgnoreTrimmed3,,,,,,,,,,
,,,,testBasicIgnoreTrimmed4,,,,,,,,,,
,,,,testListArray,,,,,,,,,,
,,,,testCSV,,,,,,,,,,
,,,,testCSVEmpty,,,,,,,,,,
,,,,testCSVSimple,,,,,,,,,,
,,,,testCSVSimpleNeedsTrim,,,,,,,,,,
,,,,testGetContent,,,,,,,,,,
,,,,testChaining,,,,,,,,,,
,,,,testCloneNotSupportedException,,,,,,,,,,
,,,,testCloneNull,,,,,,,,,,
,,,,testCloneReset,,,,,,,,,,
,,,,testConstructor_String,,,,,,,,,,
,,,,testConstructor_String_char,,,,,,,,,,
,,,,testConstructor_String_char_char,,,,,,,,,,
,,,,testConstructor_charArray,,,,,,,,,,
,,,,testConstructor_charArray_char,,,,,,,,,,
,,,,testConstructor_charArray_char_char,,,,,,,,,,
,,,,testReset,,,,,,,,,,
,,,,testReset_String,,,,,,,,,,
,,,,testReset_charArray,,,,,,,,,,
,,,,testTSV,,,,,,,,,,
,,,,testTSVEmpty,,,,,,,,,,
,,,,testIteration,,,,,,,,,,
,,,,testTokenizeSubclassInputChange,,,,,,,,,,
,,,,testTokenizeSubclassOutputChange,,,,,,,,,,
,,,,testToString,,,,,,,,,,
,,,DateFormatUtilsTest.java,testConstructor,,,,,,,,,,
,,,,testFormat,,,,,,,,,,
,,,,testFormatUTC,,,,,,,,,,
,,,,testDateTimeISO,,,,,,,,,,
,,,,testDateISO,,,,,,,,,,
,,,,testTimeISO,,,,,,,,,,
,,,,testTimeNoTISO,,,,,,,,,,
,,,,testSMTP,,,,,,,,,,
,,,DateUtilsTest.java,testConstructor,,,,,,,,,,
,,,,testIsSameDay_Date,,,,,,,,,,
,,,,testIsSameDay_Cal,,,,,,,,,,
,,,,testIsSameInstant_Date,,,,,,,,,,
,,,,testIsSameInstant_Cal,,,,,,,,,,
,,,,testIsSameLocalTime_Cal,,,,,,,,,,
,,,,testParseDate,,,,,,,,,,
,,,,testAddYears,,,,,,,,,,
,,,,testAddMonths,,,,,,,,,,
,,,,testAddWeeks,,,,,,,,,,
,,,,testAddDays,,,,,,,,,,
,,,,testAddHours,,,,,,,,,,
,,,,testAddMinutes,,,,,,,,,,
,,,,testAddSeconds,,,,,,,,,,
,,,,testAddMilliseconds,,,,,,,,,,
,,,,testAddByField,,,,,,,,,,
,,,,testRound,,,,,,,,,,
,,,,testTruncate,,,,,,,,,,
,,,,testTruncateLang59,,,,,,,,,,
,,,,testIteratorEx,,,,,,,,,,
,,,,testWeekIterator,,,,,,,,,,
,,,,testMonthIterator,,,,,,,,,,
,,,DurationFormatUtilsTest.java,testConstructor,,,,,,,,,,
,,,,testFormatDurationWords,,,,,,,,,,
,,,,testFormatDurationPluralWords,,,,,,,,,,
,,,,testFormatDurationHMS,,,,,,,,,,
,,,,testFormatDurationISO,,,,,,,,,,
,,,,testFormatDuration,,,,,,,,,,
,,,,testFormatPeriodISO,,,,,,,,,,
,,,,testFormatPeriod,,,,,,,,,,
,,,,testLexx,,,,,,,,,,
,,,,testBugzilla38401,,,,,,,,,,
,,,FastDateFormatTest.java,test_getInstance,,,,,,,,,,
,,,,test_getInstance_String,,,,,,,,,,
,,,,test_getInstance_String_TimeZone,,,,,,,,,,
,,,,test_getInstance_String_Locale,,,,,,,,,,
,,,,test_getInstance_String_TimeZone_Locale,,,,,,,,,,
,,,,testFormat,,,,,,,,,,
,,,,testShortDateStyleWithLocales,,,,,,,,,,
,,,,testLowYearPadding,,,,,,,,,,
,,,,testMilleniumBug,,,,,,,,,,
,,,,testSimpleDate,,,,,,,,,,
,,,StopWatchTest.java,testStopWatchSimple,,,,,,,,,,
,,,,testStopWatchSimpleGet,,,,,,,,,,
,,,,testStopWatchSplit,,,,,,,,,,
,,,,testStopWatchSuspend,,,,,,,,,,
,,,,testBadStates,,,,,,,,,,
12/29/2006 12:48:37,9425150104b52d9066d205776b18dd98e8299db1,"Rolling back r467482 as the methods are already in java.util.Arrays. These were added as a part of #LANG-238. 

git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/lang/trunk@491076 13f79535-47bb-0310-9956-ffa450edef68",NumberUtilsTest.java,testEqualsByte,yes,yes,yes,yes,,,,,,
,,,,testEqualsShort,yes,yes,yes,yes,,,,,,
,,,,testEqualsInt,yes,yes,yes,yes,,,,,,
,,,,testEqualsLong,yes,yes,yes,yes,,,,,,
,,,,testEqualsFloat,yes,yes,yes,yes,,,,,,
,,,,testEqualsDouble,yes,yes,yes,yes,,,,,,
11/16/2007 13:02:49,272ca375e3844e7ba13bd0290783121a60775c99,"Removing testWTF as per LANG-376

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/lang/trunk@595779 13f79535-47bb-0310-9956-ffa450edef68",MultiFormatTest.java,testWTF,yes,yes,yes,yes,,,,,,
02/25/2008 13:49:21,583c62281ee3a967ded84f31c8b45463d1275208,"[LANG-366] retract

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/lang/trunk@630967 13f79535-47bb-0310-9956-ffa450edef68",MultiFormatTest.java,testFormatNumber,yes,yes,yes,yes,,,,,,
,,,,testParseNumber,yes,yes,yes,yes,,,,,,
,,,,testFormatDate,yes,yes,yes,yes,,,,,,
,,,,testParseDate,yes,yes,yes,yes,,,,,,
,,,,testFormatObject,yes,yes,yes,yes,,,,,,
,,,,testParseGarbage,yes,yes,yes,yes,,,,,,
02/27/2008 11:12:38,60e5d4933c8c1797ac909216d6764e3348384396,"Remove previous ExtendedMesageFormat tests and update package suite to include ExtendedMessageFormatTest

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/lang/trunk@631652 13f79535-47bb-0310-9956-ffa450edef68",AbstractMessageFormatTest.java,testNoFormatElements,yes,yes,yes,yes,,,,,,
,,,,testSimpleStrings,yes,yes,yes,yes,,,,,,
,,,,testSimpleNumbers,yes,yes,yes,yes,,,,,,
,,,,testSimpleDates,yes,yes,yes,yes,,,,,,
,,,,testNumber,yes,yes,yes,yes,,,,,,
,,,,testNumberLooseFormatting,yes,yes,yes,yes,,,,,,
,,,,testInteger,yes,yes,yes,yes,,,,,,
,,,,testIntegerLooseFormatting,yes,yes,yes,yes,,,,,,
,,,,testCurrency,yes,yes,yes,yes,,,,,,
,,,,testPercent,yes,yes,yes,yes,,,,,,
,,,,testNumberPattern,yes,yes,yes,yes,,,,,,
,,,,testDate,yes,yes,yes,yes,,,,,,
,,,,testDateLooseFormatting,yes,yes,yes,yes,,,,,,
,,,,testShortDate,yes,yes,yes,yes,,,,,,
,,,,testShortDateLooseFormatting,yes,yes,yes,yes,,,,,,
,,,,testMediumDate,yes,yes,yes,yes,,,,,,
,,,,testLongDate,yes,yes,yes,yes,,,,,,
,,,,testFullDate,yes,yes,yes,yes,,,,,,
,,,,testDatePattern,yes,yes,yes,yes,,,,,,
,,,,testTime,yes,yes,yes,yes,,,,,,
,,,,testShortTime,yes,yes,yes,yes,,,,,,
,,,,testMediumTime,yes,yes,yes,yes,,,,,,
,,,,testLongTime,yes,yes,yes,yes,,,,,,
,,,,testFullTime,yes,yes,yes,yes,,,,,,
,,,,testTimePattern,yes,yes,yes,yes,,,,,,
,,,,testChoice,yes,yes,yes,yes,,,,,,
,,,,testChoiceLooseFormatting,yes,yes,yes,yes,,,,,,
,,,,testChoiceRecursive,yes,yes,yes,yes,,,,,,
,,,MessageFormatExtensionTest.java,testProperName,yes,yes,yes,yes,,,,,,
,,,,testMixed,yes,yes,yes,yes,,,,,,
03/04/2008 16:46:54,65e3778b9ee924318cad305d8b89757b735c0014,"Remove failing test for unsupported sub-formats

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/lang/trunk@633693 13f79535-47bb-0310-9956-ffa450edef68",ExtendedMessageFormatTest.java,testExtendedWithChoiceFormat,yes,yes,yes,yes,,,,,,
,,,,testExtendedAndBuiltInWithChoiceFormat,yes,yes,yes,yes,,commented out,,,,
05/07/2008 11:06:21,585e4c6eb3a49dbbd18f39acc4c94d5d64100eff,"LANG-436 Remove caching from MethodUtils

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/lang/trunk@654159 13f79535-47bb-0310-9956-ffa450edef68",MethodUtilsTest.java,testSetCacheMethods,yes,yes,yes,yes,,,,,,
03/01/2009 21:40:27,50af57d0b8eb4f10add7ebdc0c20b6dd11a838e7,"Moving enum test package to back compat 'branch'

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/lang/trunk@749173 13f79535-47bb-0310-9956-ffa450edef68",EnumTest.java,testName,yes,yes,yes,yes,,,,,,
,,,,testCompareTo,yes,yes,yes,yes,,,,,,
,,,,testEquals,yes,yes,yes,yes,,,,,,
,,,,testHashCode,yes,yes,yes,yes,,,,,,
,,,,testToString,yes,yes,yes,yes,,,,,,
,,,,testIterator,yes,yes,yes,yes,,,,,,
,,,,testList,yes,yes,yes,yes,,,,,,
,,,,testMap,yes,yes,yes,yes,,,,,,
,,,,testGet,yes,yes,yes,yes,,,,,,
,,,,testSerialization,yes,yes,yes,yes,,,,,,
,,,,testBroken1,yes,yes,yes,yes,,,,,,
,,,,testBroken2,yes,yes,yes,yes,,,,,,
,,,,testBroken3,yes,yes,yes,yes,,,,,,
,,,,testBroken1Operation,yes,yes,yes,yes,,,,,,
,,,,testBroken2Operation,yes,yes,yes,yes,,,,,,
,,,,testBroken3Operation,yes,yes,yes,yes,,,,,,
,,,,testBroken4Operation,yes,yes,yes,yes,,,,,,
,,,,testBroken5Operation,yes,yes,yes,yes,,,,,,
,,,,testOperationGet,yes,yes,yes,yes,,,,,,
,,,,testOperationSerialization,yes,yes,yes,yes,,,,,,
,,,,testOperationToString,yes,yes,yes,yes,,,,,,
,,,,testOperationList,yes,yes,yes,yes,,,,,,
,,,,testOperationMap,yes,yes,yes,yes,,,,,,
,,,,testOperationCalculation,yes,yes,yes,yes,,,,,,
,,,,testExtended1Get,yes,yes,yes,yes,,,,,,
,,,,testExtended2Get,yes,yes,yes,yes,,,,,,
,,,,testExtended3Get,yes,yes,yes,yes,,,,,,
,,,,testExtendedSerialization,yes,yes,yes,yes,,,,,,
,,,,testExtendedToString,yes,yes,yes,yes,,,,,,
,,,,testExtended1List,yes,yes,yes,yes,,,,,,
,,,,testExtended2List,yes,yes,yes,yes,,,,,,
,,,,testExtended3List,yes,yes,yes,yes,,,,,,
,,,,testExtended1Map,yes,yes,yes,yes,,,,,,
,,,,testExtended2Map,yes,yes,yes,yes,,,,,,
,,,,testExtended3Map,yes,yes,yes,yes,,,,,,
,,,,testNested,yes,yes,yes,yes,,,,,,
,,,,testNestedBroken,yes,yes,yes,yes,,,,,,
,,,,testNestedLinked,yes,yes,yes,yes,,,,,,
,,,,testNestedReferenced,yes,yes,yes,yes,,,,,,
,,,,testColorEnumEqualsWithDifferentClassLoaders,yes,yes,yes,yes,,,,,,
,,,EnumUtilsTest.java,testConstructor,yes,yes,yes,yes,,,,,,
,,,,testIterator,yes,yes,yes,yes,,,,,,
,,,,testIteratorEx,yes,yes,yes,yes,,,,,,
,,,,testList,yes,yes,yes,yes,,,,,,
,,,,testListEx,yes,yes,yes,yes,,,,,,
,,,,testMap,yes,yes,yes,yes,,,,,,
,,,,testMapEx,yes,yes,yes,yes,,,,,,
,,,,testGet,yes,yes,yes,yes,,,,,,
,,,,testGetEx,yes,yes,yes,yes,,,,,,
,,,,testGetValue,yes,yes,yes,yes,,,,,,
,,,,testGetValueEx,yes,yes,yes,yes,,,,,,
,,,ValuedEnumTest.java,testName,yes,yes,yes,yes,,,,,,
,,,,testValue,yes,yes,yes,yes,,,,,,
,,,,testCompareTo,yes,yes,yes,yes,,,,,,
,,,,testEquals,yes,yes,yes,yes,,,,,,
,,,,testToString,yes,yes,yes,yes,,,,,,
,,,,testIterator,yes,yes,yes,yes,,,,,,
,,,,testList,yes,yes,yes,yes,,,,,,
,,,,testMap,yes,yes,yes,yes,,,,,,
,,,,testGet,yes,yes,yes,yes,,,,,,
,,,,testGetValue,yes,yes,yes,yes,,,,,,
